$\ell$,"$\mathcal{D}_2(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.2}(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.5}(x^{(\ell)}, x^{(0)})$","$\mathcal{W}_{2, 0.8}(x^{(\ell)}, x^{(0)})$"
272,0.6837948331613313,0.5970010273541021,0.6655503215293805,0.4650535251289781
273,0.6829762021567691,0.594166890229196,0.6655514925228816,0.46558609846066584
274,0.6822286968005817,0.5913701699269421,0.6656523246478019,0.46629181283605914
275,0.6816422214568372,0.5886416490220807,0.6658525929692153,0.4671711422195277
276,0.6810409440533306,0.5859012251151743,0.6660212064570703,0.4679851837634481
277,0.6801431783604752,0.5831614876458777,0.6657984969794282,0.4683680225658902
278,0.6796456699140629,0.5803857282732335,0.6659406578313675,0.46921504714856516
279,0.6793089048267222,0.5776709996755456,0.6662482719468352,0.47020478550109784
280,0.6790678732428889,0.5750684617421864,0.6666419999953815,0.47128179687816496
281,0.6779406211884157,0.5718830515331645,0.6661721380621648,0.47202971069209765
282,0.6766298846455369,0.5686965434931368,0.6654551684312524,0.4725453695863492
283,0.6750004994001375,0.5651507909876308,0.6643752731067758,0.4729703454747065
284,0.6720725240869893,0.56092602813024,0.6618525432734464,0.4720512645887953
285,0.6695965170903845,0.5567537165413768,0.6598422223040267,0.4715477844665006
286,0.6678243060713561,0.5530343142936193,0.6586643884403275,0.4716963146076468
287,0.6651147699220403,0.5486092549163556,0.6563858890864946,0.4711185036047467
288,0.6620958887400475,0.5440282531572213,0.653844016940223,0.47024182110306134
289,0.6587359943647486,0.5390999250342132,0.6508461393278061,0.469335760409995
290,0.6561005830744084,0.5347702424250618,0.648748815961058,0.46893072291929305
291,0.6530873533861916,0.5301681989916925,0.6461940559929439,0.4682909275286545
292,0.649659759430392,0.5253970859203704,0.6432296466874404,0.4672208591444237
293,0.646527169497931,0.5208343966887953,0.640585052203409,0.46635842784788123
294,0.6438164517773819,0.5164655507411278,0.638370771301157,0.46586905335689527
295,0.6418138411703423,0.5125625650256256,0.636826469872139,0.4661840915109217
296,0.6391346939827569,0.5082840660484375,0.6344572276499151,0.4657759985661882
297,0.6362322197166396,0.5039033940776864,0.6319311008857857,0.4651160636530639
298,0.6330168777995494,0.4994436781880434,0.6290772517613478,0.46422182709000154
299,0.6298187584106543,0.49494520268526965,0.6263018144886044,0.4633483095870839
300,0.6264926286325212,0.49035486954427926,0.6233654278885238,0.4624427148882988
301,0.6232349424959308,0.4858169414113214,0.6204818229905865,0.46159212764337815
302,0.6199603631296939,0.4812007521353162,0.617508863847866,0.46070608859411755
303,0.6163681669363077,0.47631299265886157,0.6141541702387878,0.45961048100904034
304,0.6128152389389614,0.4714305417909597,0.6108943736105854,0.45850847848996745
305,0.6088893708894391,0.4663312813353106,0.6072444694928552,0.4572037569719745
306,0.6046338331114609,0.4612104328259747,0.6031867303401645,0.45566118394521155
307,0.6002527296017537,0.45612073658092794,0.5990379416945689,0.45407227634259617
308,0.5961469852010558,0.4510489878155863,0.5951914843138233,0.45268743730274563
309,0.5911066798536518,0.4459381405367788,0.5903557739126212,0.4503478383604597
310,0.5865232453211378,0.44076918419987565,0.5859770019440895,0.44864906537043237
311,0.5821607515568941,0.43584258896308525,0.581826594654808,0.4471286284678429
312,0.5773769013406902,0.43106482806523855,0.5770995547291946,0.4449484992202314
313,0.573022565467025,0.42612026517241025,0.5728327702405926,0.44340364522739645
314,0.567219935493965,0.4207448448499008,0.5671321301464382,0.44019947650455443
315,0.5607393882238575,0.4145504542947624,0.5607387840866247,0.4366931837741393
316,0.5542533910008106,0.4087747369986042,0.554253235071577,0.4329412739905739
317,0.5473583353165522,0.40257955876499985,0.5472946811306987,0.42893556411505895
318,0.5404223516936453,0.39639000792208023,0.5403276439887896,0.42491690031319695
319,0.5335770623228426,0.3903564966764998,0.533310328295426,0.4208750026494338
320,0.526524376526784,0.38431597156660174,0.5261077086654536,0.41666347953106436
321,0.5193884399244203,0.3783906535149108,0.518746486768872,0.41231800264840035
322,0.5121827029884073,0.3718573734685629,0.5113463428992034,0.4081747917458549
323,0.5047768349373037,0.3654321341577977,0.5036059020607058,0.40383754331845645
324,0.4982732620549638,0.3594851371603685,0.4967443056410807,0.40026583163874957
325,0.49108944479587957,0.3531368246868577,0.4890726008923988,0.39609505658693667
326,0.48432739467791486,0.34702435225300055,0.4816427417736218,0.3921681911505417
327,0.47678689111700107,0.3402267669315964,0.4734758630134841,0.3876747312779811
328,0.4694034142931155,0.3332836772291584,0.46552519828619043,0.3833775212918163
329,0.4624437596427915,0.32637880742479464,0.45811820264665754,0.37970781869954984
330,0.45640087353350134,0.320170464647403,0.45176547418582524,0.37673041780211064
331,0.44936086753744925,0.313507362424058,0.4441514085810004,0.37273780422165825
332,0.44242976571751585,0.30698690321436917,0.43667168208162904,0.36877618666616946
333,0.4354623710548605,0.3007271173004378,0.4290605377337145,0.36466841784584886
334,0.4283028394669119,0.29430436799219756,0.4213237640234882,0.3605754006794657
335,0.42135414712948993,0.2878541427698283,0.4135256616485799,0.3565925696306146
336,0.4145452496544784,0.281832595017557,0.40577910519839316,0.3527663882955577
337,0.4093242407788159,0.27655430311375095,0.399351044271845,0.3502869888338892
338,0.4024127829166055,0.2705182026594783,0.39144150116467746,0.34627242077984977
339,0.39434313644068725,0.26372855193434946,0.3824418484958423,0.34133912270444255
340,0.3861585165550831,0.25704366224393776,0.3731864431329396,0.33625638251352974
341,0.37758493300373946,0.25008507793346835,0.3635334069790397,0.33083510474020794
342,0.36894162864948626,0.24310741851132397,0.3535933201963064,0.32535385809718415
343,0.35930029917160405,0.23571578685495634,0.34258060872014723,0.3192459470186786
344,0.3519574393776505,0.22990453700292215,0.33384946536782406,0.31473996800027
345,0.34409552543157107,0.2235215299622818,0.3246657072448349,0.3097511470608506
346,0.3358031737939157,0.21668406820319,0.3150871848984877,0.3044061737018261
347,0.32675440123146676,0.20950505659191568,0.30476189699917505,0.29823293389980676
348,0.31781019239089203,0.20269893278707748,0.294733862418356,0.2919961941852435
349,0.30862210067916385,0.19592633500646037,0.2844263222239277,0.2854016650384598
350,0.299751997151428,0.18928342174729756,0.27455907517728045,0.2792379203706337
351,0.28846994838140066,0.1816924571678514,0.26300423456473654,0.2712027535292985
352,0.27708497372457713,0.17400767296845018,0.2513396922284073,0.262745333857353
353,0.2661291893492867,0.16659512589209977,0.24012318964586865,0.254450583599426
354,0.2551269902827883,0.15939667049117037,0.22924118657125675,0.24573224592897655
355,0.24438885995179196,0.15247172768192657,0.2184675291424634,0.23680477543132336
356,0.23424156244458116,0.14610114825197315,0.2083803585699913,0.22836371657666094
357,0.2244494187889737,0.13973769030085434,0.1986063796635729,0.22011216873880082
358,0.21486624582298489,0.13383291922322627,0.18942752937518728,0.21184813843173964
359,0.20596562580671088,0.12830434798258486,0.18073361189552486,0.20416457589924614
360,0.19694089246949006,0.12303632313185235,0.1724040829404666,0.1961776306834912
361,0.18865343816490163,0.11857672754496268,0.16485154648975048,0.18857400461151513
362,0.1825374985002919,0.11498363230783545,0.1588965667052312,0.1825168023331235
363,0.17702107942251083,0.11141743422590143,0.1531925879770296,0.17615141065765139
364,0.17031494406351835,0.10719005977244522,0.14685382903217747,0.16846950873140148
365,0.16379366756406716,0.10362563656426531,0.14074142884756463,0.16137068774153338
366,0.15708288645847207,0.10023096082755073,0.13479116207998806,0.1541902643907341
367,0.1528963421296621,0.0980040258145396,0.13136111540226225,0.14973359928120283
368,0.14782176091840354,0.09547145735888883,0.12724456866528105,0.14490776120995455
369,0.14429918879861808,0.09377311945384578,0.12400940673027588,0.1413785762407225
370,0.14236657452447551,0.09271874746339061,0.12224157597888452,0.13923801088544546
371,0.14460059475526105,0.09311797328847263,0.12376126523512987,0.14105815780942293
372,0.1494756579455764,0.09478252570416307,0.1270549119069163,0.14579743617962318
373,0.15579363181567382,0.09691053515364577,0.13164097592328078,0.1520803266136821
374,0.16160174966186575,0.09895838087795507,0.1362383127754843,0.15804484366773802
375,0.16840017699938434,0.10187238894838842,0.14161611046075764,0.16539115541239416
376,0.176524173833937,0.10598608347956365,0.14833906395096944,0.17420374261902083
377,0.18500849717693701,0.11034243700901507,0.15543443819757574,0.18337804388959233
378,0.19219580121825877,0.11427027748064467,0.1615219815276107,0.19150322966929065
379,0.19992567444311793,0.11815013005978721,0.1681275517751763,0.19991932274591143
380,0.20934325553076857,0.12341550140877751,0.17661060518116523,0.20930815361194602
381,0.21869804978611004,0.12870091408951542,0.185318692321776,0.21789947370457904
382,0.22846772148437358,0.13434725439453887,0.19433146633915663,0.2264169771196571
383,0.23827402410786588,0.14017796437176835,0.203575687096969,0.2347376368409571
384,0.24681809594398235,0.1452347696026613,0.21161836678668114,0.24175678398444495
385,0.25560102731334744,0.15055110819037232,0.22024357544763995,0.24871869713243966
386,0.26511661260918684,0.15656203095721738,0.22953106965862008,0.25614010073941246
387,0.2742443510777725,0.162120501031886,0.2386830903939698,0.26331406404841656
388,0.28267849361794284,0.16762481957115086,0.24720703157849166,0.2695171325480392
389,0.29227535347100736,0.1739255670512269,0.25725227987167026,0.27672856455931116
390,0.3029035804097615,0.18113650118789426,0.26850843782204387,0.2845274049092193
